seed,method,cr,icr,pse,offer_rate,cost,budget_util,overspend,inc_sales,gross_sales
4103,proposed,0.143625,0.0085,4.866328093068455,0.0185,671.0,0.9985119047619048,0.0,3265.3061504489337,55755.96197232745
4103,static,0.141875,0.00675,3.9794323111572503,0.17725,671.0,0.9985119047619048,0.0,2670.199080786515,55160.854902665014
4104,geo,0.142875,0.008625,4.624148270465885,0.04875,670.0,0.9970238095238095,0.0,3098.179341212143,56648.733645888635
4104,linucb,0.14025,0.006,3.348295767085104,0.031625,672.0,1.0,0.0,2250.05475548119,55800.60906015771
4104,no_budget,0.3015,0.16725,3.847399709758885,0.82125,17070.0,25.401785714285715,16398.0,65675.11304558416,119225.66735026092
4104,nonspatial_budget,0.14175,0.0075,4.6402719671095225,0.025125,672.0,1.0,0.0,3118.2627618975994,56668.81706657411
4104,proposed,0.142875,0.008625,4.953575641038056,0.018625,672.0,1.0,0.0,3328.802830777574,56879.3571354541
4104,static,0.139625,0.005375,3.111005599316912,0.146625,671.0,0.9985119047619048,0.0,2087.484757141648,55638.03906181816
4105,geo,0.13775,0.008125,5.35389891950663,0.048125,670.0,0.9970238095238095,0.0,3587.112276069442,56214.900323125905
4105,linucb,0.1365,0.006875,4.559750300115123,0.026375,671.0,0.9985119047619048,0.0,3059.5924513772475,55687.3804984337
4105,no_budget,0.28625,0.156625,3.9022468060441273,0.6485,16085.0,23.936011904761905,15413.0,62767.639875219786,115395.42792227647
4105,nonspatial_budget,0.13775,0.008125,5.119243402679581,0.0245,672.0,1.0,0.0,3440.1315666006785,56067.919613657126
4105,proposed,0.138625,0.009,5.378181861182077,0.024625,671.0,0.9985119047619048,0.0,3608.760028853174,56236.54807590961
4105,static,0.133125,0.0035,2.038786384403622,0.155625,672.0,1.0,0.0,1370.0644503192339,53997.852497375665
4106,geo,0.142125,0.01,5.836043506335821,0.053625,670.0,0.9970238095238095,0.0,3910.1491492450004,56143.23129830138
4106,linucb,0.137625,0.0055,3.374968969792344,0.030625,671.0,0.9985119047619048,0.0,2264.604178730663,54497.68632778705
4106,no_budget,0.3,0.167875,3.9475449778807516,0.712,16873.0,25.108630952380953,16201.0,66606.92641178193,118840.00856083816
4106,nonspatial_budget,0.14,0.007875,4.802421469652901,0.020375,672.0,1.0,0.0,3227.2272276067497,55460.30937666313
4106,proposed,0.14025,0.008125,5.457241511526401,0.01525,672.0,1.0,0.0,3667.266295745741,55900.348444802155
4106,static,0.13625,0.004125,2.363612480588113,0.164,671.0,0.9985119047619048,0.0,1585.983974474624,53819.06612353099
4107,geo,0.137,0.008125,5.11630902894339,0.050375,670.0,0.9970238095238095,0.0,3427.9270493920712,55459.36606942448
4107,linucb,0.135125,0.00625,3.5220706320765642,0.025,672.0,1.0,0.0,2366.831464755451,54398.27048478788
4107,no_budget,0.293625,0.16475,3.945172207953194,0.720125,17041.0,25.358630952380953,16369.0,67229.67959573038,119261.11861576281
4107,nonspatial_budget,0.137,0.008125,4.843609859606778,0.058,671.0,0.9985119047619048,0.0,3250.062215796148,55281.50123582857
4107,proposed,0.136875,0.008,4.769531532118446,0.01825,672.0,1.0,0.0,3205.125189583596,55236.564209615986
4107,static,0.135,0.006125,3.6905697816516856,0.19675,672.0,1.0,0.0,2480.062893269933,54511.50191330235
4108,geo,0.135125,0.007875,4.508461862988571,0.048125,670.0,0.9970238095238095,0.0,3020.6694482023427,54302.79002621305
4108,linucb,0.13375,0.0065,3.7304027682916128,0.026,671.0,0.9985119047619048,0.0,2503.100257523672,53785.22083553438
4108,no_budget,0.286375,0.159125,3.9609949561479767,0.651,15924.0,23.696428571428573,15252.0,63074.88368170038,114357.00425971087
4108,nonspatial_budget,0.13425,0.007,3.9157751656814566,0.022625,672.0,1.0,0.0,2631.400911337939,53913.52148934861
4108,proposed,0.13725,0.01,5.673449636643792,0.04675,671.0,0.9985119047619048,0.0,3806.884706187984,55089.00528419867
4108,static,0.131,0.00375,2.172815843261993,0.170625,671.0,0.9985119047619048,0.0,1457.9594308287974,52740.0800088395
4109,geo,0.14075,0.009,5.818768709352326,0.04575,670.0,0.9970238095238095,0.0,3898.575035266058,57390.14358220337
4109,linucb,0.13825,0.0065,4.201446103980095,0.02825,671.0,0.9985119047619048,0.0,2819.170335770644,56310.738882707956
4109,no_budget,0.2975,0.16575,4.082529480789767,0.681875,16558.0,24.639880952380953,15886.0,67598.52314291697,121090.09168985419
4109,nonspatial_budget,0.139875,0.008125,4.84402022111967,0.02075,671.0,0.9985119047619048,0.0,3250.3375683712984,56741.90611530864
4109,proposed,0.1405,0.00875,5.785474152304102,0.016,671.0,0.9985119047619048,0.0,3882.0531561960524,57373.62170313339
4109,static,0.13725,0.0055,3.3950876204664544,0.168375,671.0,0.9985119047619048,0.0,2278.103793332991,55769.67234027031
4110,geo,0.142125,0.007625,4.307014765116772,0.049125,670.0,0.9970238095238095,0.0,2885.6998926282376,57430.6439226644
4110,linucb,0.14,0.0055,3.420981840995174,0.0315,672.0,1.0,0.0,2298.899797148757,56843.8438271849
4110,no_budget,0.295375,0.160875,3.8546040510441193,0.704125,16921.0,25.180059523809526,16249.0,65223.755147717544,119768.69917775369
4110,nonspatial_budget,0.14125,0.00675,4.484429030288373,0.022125,672.0,1.0,0.0,3013.536308353787,57558.48033838992
4110,proposed,0.14225,0.00775,4.642013404605083,0.019,671.0,0.9985119047619048,0.0,3114.7909944900107,57659.735024526126
4110,static,0.1395,0.005,3.0553485602630874,0.160625,671.0,0.9985119047619048,0.0,2050.138883936532,56595.08291397267
4111,geo,0.141375,0.008375,5.300251213640683,0.05,670.0,0.9970238095238095,0.0,3551.168313139258,56598.13366845555
4111,linucb,0.14075,0.00775,5.291920887431449,0.0355,672.0,1.0,0.0,3556.1708363539337,56603.13619167022
4111,no_budget,0.297375,0.164375,4.223426933710374,0.8385,15700.0,23.363095238095237,15028.0,66307.80285925287,119354.76821456944
4111,nonspatial_budget,0.146,0.013,7.875113591670264,0.15075,672.0,1.0,0.0,5292.076333602417,58339.04168891872
4111,proposed,0.141625,0.008625,5.121090401260234,0.020125,672.0,1.0,0.0,3441.372749646877,56488.33810496319
4111,static,0.13775,0.00475,2.6094135067370114,0.149875,672.0,1.0,0.0,1753.5258765272717,54800.491231843596
4112,geo,0.14225,0.008125,4.620179511964842,0.047,670.0,0.9970238095238095,0.0,3095.520273016444,58057.035548756365
4112,linucb,0.141125,0.007,4.1746293624667805,0.032125,671.0,0.9985119047619048,0.0,2801.17630221521,57762.691577955135
4112,no_budget,0.29625,0.162125,3.928337939352449,0.741,16265.0,24.203869047619047,15593.0,63894.41658356759,118855.9318593078
4112,nonspatial_budget,0.14325,0.009125,5.0259769310567926,0.046625,671.0,0.9985119047619048,0.0,3372.4305207391076,58333.94579647903
4112,proposed,0.144875,0.01075,5.5159241812038,0.031,671.0,0.9985119047619048,0.0,3701.1851255877496,58662.70040132769
4112,static,0.13975,0.005625,3.241757511756755,0.148,671.0,0.9985119047619048,0.0,2175.2192903887826,57136.734566128696
4113,geo,0.141875,0.008125,5.10122430240227,0.051875,670.0,0.9970238095238095,0.0,3417.8202826095207,56949.240801745786
4113,linucb,0.1405,0.00675,4.249088844092138,0.02975,672.0,1.0,0.0,2855.387703229917,56386.80822236618
4113,no_budget,0.297625,0.163875,3.690933274944417,0.811625,17916.0,26.660714285714285,17244.0,66126.76055390417,119658.18107304095
4113,nonspatial_budget,0.141,0.00725,4.242647390094753,0.021625,672.0,1.0,0.0,2851.0590461436736,56382.47956527992
4113,proposed,0.142125,0.008375,5.42821994322688,0.02475,671.0,0.9985119047619048,0.0,3642.3355819052363,57173.7561010415
4113,static,0.1395,0.00575,3.2493917352439223,0.189375,672.0,1.0,0.0,2183.591246083916,55715.01176522017
4114,geo,0.142875,0.00925,5.791195855583825,0.045875,670.0,0.9970238095238095,0.0,3880.1012232411626,58227.87604491866
4114,linucb,0.13925,0.005625,3.3321210746532137,0.031625,672.0,1.0,0.0,2239.1853621669597,56586.96018384444
4114,no_budget,0.292,0.158375,3.7783823304380304,0.802,16696.0,24.845238095238095,16024.0,63083.87138899336,117431.64621067083
4114,nonspatial_budget,0.14025,0.006625,3.508927087547731,0.022125,672.0,1.0,0.0,2357.9990028320753,56705.77382450956
4114,proposed,0.140875,0.00725,3.8179299132990607,0.024,671.0,0.9985119047619048,0.0,2561.8309718236696,56909.605793501156
4114,static,0.137125,0.0035,2.305690653565194,0.164375,672.0,1.0,0.0,1549.4241191958106,55897.198940873284
